name,city,country,code,latitude,longitude
Kamloops Airport,Kamloops,Canada,YKA,50.7022018433,-120.444000244
Waterloo Airport,Waterloo,Canada,YKF,43.460800170899994,-80.3786010742
Schefferville Airport,Schefferville,Canada,YKL,54.805301666259766,-66.8052978515625
Kindersley Airport,Kindersley,Canada,YKY,51.5175018311,-109.180999756
Buttonville Municipal Airport,Toronto,Canada,YKZ,43.86220169067383,-79.37000274658203
Chapleau Airport,Chapleau,Canada,YLD,47.81999969482422,-83.3467025756836
Meadow Lake Airport,Meadow Lake,Canada,YLJ,54.125301361083984,-108.52300262451172
Lloydminster Airport,Lloydminster,Canada,YLL,53.309200286865234,-110.072998046875
Alert Airport,Alert,Canada,YLT,82.51779937740001,-62.2806015015
Kelowna International Airport,Kelowna,Canada,YLW,49.9561004639,-119.377998352
Mayo Airport,Mayo,Canada,YMA,63.61640167236328,-135.8679962158203
Moose Jaw Air Vice Marshal C. M. McEwen Airport,Moose Jaw,Canada,YMJ,50.330299377441406,-105.55899810791016
Fort McMurray Airport,Fort Mcmurray,Canada,YMM,56.653301239,-111.222000122
Moosonee Airport,Moosonee,Canada,YMO,51.291099548339844,-80.60780334472656
Maniwaki Airport,Maniwaki,Canada,YMW,46.2728004456,-75.9906005859
Montreal International (Mirabel) Airport,Montreal,Canada,YMX,45.6795005798,-74.0386962891
Natashquan Airport,Natashquan,Canada,YNA,50.189998626708984,-61.78919982910156
Ottawa / Gatineau Airport,Gatineau,Canada,YND,45.521701812699995,-75.5635986328
Matagami Airport,Matagami,Canada,YNM,49.76169967651367,-77.80280303955078
Old Crow Airport,Old Crow,Canada,YOC,67.57060241699219,-139.83900451660156
CFB Cold Lake,Cold Lake,Canada,YOD,54.404998779296875,-110.27899932861328
High Level Airport,High Level,Canada,YOJ,58.62139892578125,-117.16500091552734
Ottawa Macdonald-Cartier International Airport,Ottawa,Canada,YOW,45.3224983215332,-75.66919708251953
Prince Albert Glass Field,Prince Albert,Canada,YPA,53.214199066199996,-105.672996521
Peace River Airport,Peace River,Canada,YPE,56.226898193359375,-117.4469985961914
Southport Airport,Portage-la-prairie,Canada,YPG,49.903099,-98.273817
Pitt Meadows Airport,Pitt Meadows,Canada,\N,49.21609878540039,-122.70999908447266
Pickle Lake Airport,Pickle Lake,Canada,YPL,51.4463996887207,-90.21420288085938
Port Menier Airport,Port Menier,Canada,YPN,49.83639907836914,-64.2885971069336
Peterborough Airport,Peterborough,Canada,YPQ,44.22999954223633,-78.36329650878906
Prince Rupert Airport,Prince Pupert,Canada,YPR,54.286098480199996,-130.445007324
Fort Chipewyan Airport,Fort Chipewyan,Canada,YPY,58.7672004699707,-111.11699676513672
Muskoka Airport,Muskoka,Canada,YQA,44.974700927734375,-79.30329895019531
Quebec Jean Lesage International Airport,Quebec,Canada,YQB,46.7911,-71.393303
Red Deer Regional Airport,Red Deer Industrial,Canada,YQF,52.18220138549805,-113.89399719238281
Windsor Airport,Windsor,Canada,YQG,42.27560043334961,-82.95559692382812
Watson Lake Airport,Watson Lake,Canada,YQH,60.11640167236328,-128.82200622558594
Kenora Airport,Kenora,Canada,YQK,49.788299560546875,-94.36309814453125
Lethbridge County Airport,Lethbridge,Canada,YQL,49.6302986145,-112.800003052
Greater Moncton International Airport,Moncton,Canada,YQM,46.11220169067383,-64.67859649658203
Comox Airport,Comox,Canada,YQQ,49.71080017089844,-124.88700103759766
Regina International Airport,Regina,Canada,YQR,50.43190002441406,-104.66600036621094
Thunder Bay Airport,Thunder Bay,Canada,YQT,48.37189865112305,-89.32389831542969
Grande Prairie Airport,Grande Prairie,Canada,YQU,55.1796989441,-118.885002136
Yorkton Municipal Airport,Yorkton,Canada,YQV,51.26470184326172,-102.46199798583984
North Battleford Airport,North Battleford,Canada,YQW,52.76919937133789,-108.24400329589844
Gander International Airport,Gander,Canada,YQX,48.9369010925293,-54.56809997558594
Sydney / J.A. Douglas McCurdy Airport,Sydney,Canada,YQY,46.161399841299996,-60.0477981567
Quesnel Airport,Quesnel,Canada,YQZ,53.026100158691406,-122.51000213623047
Resolute Bay Airport,Resolute,Canada,YRB,74.7169036865,-94.9693984985
Rivière-du-Loup Airport,Riviere Du Loup,Canada,YRI,47.764400482177734,-69.58470153808594
Roberval Airport,Roberval,Canada,YRJ,48.52000045776367,-72.2656021118164
Rocky Mountain House Airport,Rocky Mountain House,Canada,YRM,52.4296989441,-114.903999329
Rankin Inlet Airport,Rankin Inlet,Canada,YRT,62.8114013672,-92.1157989502
Sudbury Airport,Sudbury,Canada,YSB,46.625,-80.79889678955078
Sherbrooke Airport,Sherbrooke,Canada,YSC,45.4385986328125,-71.69139862060547
Saint John Airport,St. John,Canada,YSJ,45.31610107421875,-65.89029693603516
Fort Smith Airport,Fort Smith,Canada,YSM,60.020301818847656,-111.96199798583984
Nanisivik Airport,Nanisivik,Canada,YSR,72.982201,-84.613602
Summerside Airport,Summerside,Canada,YSU,46.44060134887695,-63.83359909057617
Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,Sachs Harbour,Canada,YSY,71.9938964844,-125.242996216
Cape Dorset Airport,Cape Dorset,Canada,YTE,64.2300033569,-76.5267028809
Thompson Airport,Thompson,Canada,YTH,55.80110168457031,-97.86419677734375
CFB Trenton,Trenton,Canada,YTR,44.118900299072266,-77.5280990600586
Timmins/Victor M. Power,Timmins,Canada,YTS,48.569698333699996,-81.376701355
Billy Bishop Toronto City Centre Airport,Toronto,Canada,YTZ,43.627499,-79.396202
Tuktoyaktuk Airport,Tuktoyaktuk,Canada,YUB,69.43329620361328,-133.0260009765625
Montreal / Pierre Elliott Trudeau International Airport,Montreal,Canada,YUL,45.4706001282,-73.7407989502
Repulse Bay Airport,Repulse Bay,Canada,YUT,66.5214004517,-86.22470092770001
Hall Beach Airport,Hall Beach,Canada,YUX,68.77610015869999,-81.2425
Rouyn Noranda Airport,Rouyn,Canada,YUY,48.20610046386719,-78.83560180664062
La Ronge Airport,La Ronge,Canada,YVC,55.151401519800004,-105.262001038
Vermilion Airport,Vermillion,Canada,YVG,53.355800628699996,-110.823997498
Qikiqtarjuaq Airport,Broughton Island,Canada,YVM,67.5457992554,-64.03140258789999
Val-d'Or Airport,Val D'or,Canada,YVO,48.0532989502,-77.7827987671
Kuujjuaq Airport,Quujjuaq,Canada,YVP,58.096099853515625,-68.4269027709961
Norman Wells Airport,Norman Wells,Canada,YVQ,65.28160095214844,-126.7979965209961
Vancouver International Airport,Vancouver,Canada,YVR,49.193901062,-123.183998108
Buffalo Narrows Airport,Buffalo Narrows,Canada,YVT,55.8418998718,-108.417999268
Wiarton Airport,Wiarton,Canada,YVV,44.7458,-81.107201
Petawawa Airport,Petawawa,Canada,YWA,45.95220184326172,-77.31919860839844
Winnipeg / James Armstrong Richardson International Airport,Winnipeg,Canada,YWG,49.909999847399995,-97.2398986816
Wabush Airport,Wabush,Canada,YWK,52.92190170288086,-66.8644027709961
Williams Lake Airport,Williams Lake,Canada,YWL,52.1831016541,-122.054000854
Wrigley Airport,Wrigley,Canada,YWY,63.20940017700195,-123.43699645996094
Cranbrook/Canadian Rockies International Airport,Cranbrook,Canada,YXC,49.610801696777,-115.78199768066
Edmonton City Centre (Blatchford Field) Airport,Edmonton,Canada,YXD,53.5724983215,-113.521003723
Saskatoon John G. Diefenbaker International Airport,Saskatoon,Canada,YXE,52.170799255371094,-106.69999694824219
Medicine Hat Airport,Medicine Hat,Canada,YXH,50.01890182495117,-110.72100067138672
Fort St John Airport,Fort Saint John,Canada,YXJ,56.23809814453125,-120.73999786376953
Sioux Lookout Airport,Sioux Lookout,Canada,YXL,50.11389923095703,-91.9052963256836
Pangnirtung Airport,Pangnirtung,Canada,YXP,66.1449966431,-65.71360015869999
Earlton (Timiskaming Regional) Airport,Earlton,Canada,YXR,47.697400654599996,-79.8473453522
Prince George Airport,Prince George,Canada,YXS,53.8894004822,-122.679000854
Northwest Regional Airport Terrace-Kitimat,Terrace,Canada,YXT,54.468498,-128.576009
London Airport,London,Canada,YXU,43.035599,-81.1539
Abbotsford Airport,Abbotsford,Canada,YXX,49.025299072265625,-122.36100006103516
Whitehorse / Erik Nielsen International Airport,Whitehorse,Canada,YXY,60.7095985413,-135.067001343
North Bay Airport,North Bay,Canada,YYB,46.36360168457031,-79.42279815673828
Calgary International Airport,Calgary,Canada,YYC,51.113899231,-114.019996643
Smithers Airport,Smithers,Canada,YYD,54.82469940185547,-127.18299865722656
Fort Nelson Airport,Fort Nelson,Canada,YYE,58.8363990784,-122.597000122
Penticton Airport,Penticton,Canada,YYF,49.46310043334961,-119.60199737548828
Charlottetown Airport,Charlottetown,Canada,YYG,46.290000915527344,-63.12110137939453
Taloyoak Airport,Spence Bay,Canada,YYH,69.5466995239,-93.5766983032
Victoria International Airport,Victoria,Canada,YYJ,48.646900177,-123.426002502
Lynn Lake Airport,Lynn Lake,Canada,YYL,56.86389923095703,-101.07599639892578
Swift Current Airport,Swift Current,Canada,YYN,50.291900634799994,-107.691001892
Churchill Airport,Churchill,Canada,YYQ,58.739200592041016,-94.06500244140625
Goose Bay Airport,Goose Bay,Canada,YYR,53.3191986084,-60.4258003235
St. John's International Airport,St. John's,Canada,YYT,47.618598938,-52.7518997192
Kapuskasing Airport,Kapuskasing,Canada,YYU,49.41389846801758,-82.46749877929688
Armstrong Airport,Armstrong,Canada,YYW,50.29029846191406,-88.90969848632812
Mont Joli Airport,Mont Joli,Canada,YYY,48.60860061645508,-68.20809936523438
Lester B. Pearson International Airport,Toronto,Canada,YYZ,43.6772003174,-79.63059997559999
Downsview Airport,Toronto,Canada,YZD,43.74250030517578,-79.4655990600586
Gore Bay Manitoulin Airport,Gore Bay,Canada,YZE,45.88529968261719,-82.56780242919922
Yellowknife Airport,Yellowknife,Canada,YZF,62.462799072265625,-114.44000244140625
Slave Lake Airport,Slave Lake,Canada,YZH,55.2930984497,-114.777000427
Sandspit Airport,Sandspit,Canada,YZP,53.25429916379999,-131.813995361
Chris Hadfield Airport,Sarnia,Canada,YZR,42.9994010925293,-82.30889892578125
Port Hardy Airport,Port Hardy,Canada,YZT,50.680599212646484,-127.36699676513672
Whitecourt Airport,Whitecourt,Canada,YZU,54.14390182495117,-115.78700256347656
Sept-Îles Airport,Sept-iles,Canada,YZV,50.22330093383789,-66.2656021118164
Teslin Airport,Teslin,Canada,YZW,60.17279815673828,-132.7429962158203
CFB Greenwood,Greenwood,Canada,YZX,44.98440170288086,-64.91690063476562
Faro Airport,Faro,Canada,ZFA,62.20750045776367,-133.37600708007812
Fort Mcpherson Airport,Fort Mcpherson,Canada,ZFM,67.40750122070312,-134.86099243164062
Blida Airport,Blida,Algeria,\N,36.50360107421875,2.8141698837280273
Bou Saada Airport,Bou Saada,Algeria,\N,35.33250045776367,4.206389904022217
Soummam Airport,Bejaja,Algeria,BJA,36.7120018005,5.0699200630200005
Houari Boumediene Airport,Algier,Algeria,ALG,36.691001892089844,3.215409994125366
Djanet Inedbirene Airport,Djanet,Algeria,DJG,24.292800903299998,9.45244026184
Boufarik Airport,Boufarik,Algeria,QFD,36.545799,2.87611
Reggane Airport,Reggan,Algeria,\N,26.710100173950195,0.2856470048427582
Illizi Takhamalt Airport,Illizi,Algeria,VVZ,26.7234992981,8.62265014648
Ain Oussera Airport,Ain Oussera,Algeria,\N,35.52539825439453,2.8787100315093994
Aguenar – Hadj Bey Akhamok Airport,Tamanrasset,Algeria,TMR,22.8115005493,5.45107984543
Jijel Ferhat Abbas Airport,Jijel,Algeria,GJL,36.7951011658,5.87361001968
Mecheria Airport,Mecheria,Algeria,\N,33.535900116,-0.242353007197
Relizane Airport,Relizane,Algeria,\N,35.752201080322266,0.6262720227241516
Annaba Airport,Annaba,Algeria,AAE,36.822200775146484,7.809169769287109
Mohamed Boudiaf International Airport,Constantine,Algeria,CZL,36.2760009765625,6.620389938354492
Cheikh Larbi Tébessi Airport,Tebessa,Algeria,TEE,35.4315986633,8.12071990967
Hassi R'Mel Airport,Tilrempt,Algeria,HRM,32.93040084838867,3.311539888381958
Bou Chekif Airport,Tiaret,Algeria,TID,35.3410987854,1.46315002441
Bou Sfer Airport,Bou Sfer,Algeria,\N,35.73540115356445,-0.8053889870643616
Tindouf Airport,Tindouf,Algeria,TIN,27.7003993988,-8.167099952700001
Ech Cheliff Airport,Ech-cheliff,Algeria,QAS,36.2126998901,1.33176994324
Tafaraoui Airport,Oran,Algeria,TAF,35.54240036010742,-0.5322780013084412
Zenata – Messali El Hadj Airport,Tlemcen,Algeria,TLM,35.0167007446,-1.45000004768
Es Senia Airport,Oran,Algeria,ORN,35.6239013672,-0.6211829781529999
Sidi Bel Abbes Airport,Sidi Bel Abbes,Algeria,\N,35.1717987061,-0.593275010586
Ghriss Airport,Ghriss,Algeria,MUW,35.207698822021484,0.14714199304580688
Touat Cheikh Sidi Mohamed Belkebir Airport,Adrar,Algeria,AZR,27.837600708007812,-0.18641400337219238
Biskra Airport,Biskra,Algeria,BSK,34.793300628699996,5.73823022842
El Golea Airport,El Golea,Algeria,ELG,30.571300506591797,2.8595900535583496
Noumérat - Moufdi Zakaria Airport,Ghardaia,Algeria,GHA,32.38410186767578,3.794110059738159
Oued Irara Airport,Hassi Messaoud,Algeria,HME,31.673000335699996,6.140439987180001
In Salah Airport,In Salah,Algeria,INZ,27.250999450699997,2.51202011108
Touggourt Sidi Madhi Airport,Touggourt,Algeria,TGR,33.06779861450195,6.088669776916504
Laghouat Airport,Laghouat,Algeria,LOO,33.764400482199996,2.92833995819
Timimoun Airport,Timimoun,Algeria,TMX,29.2371006012,0.276033014059
Ain el Beida Airport,Ouargla,Algeria,OGX,31.917200088500977,5.412779808044434
In Aménas Airport,Zarzaitine,Algeria,IAM,28.0515003204,9.64291000366
Cadjehoun Airport,Cotonou,Benin,COO,6.357230186462402,2.384350061416626
Ouagadougou Airport,Ouagadougou,Burkina Faso,OUA,12.35319995880127,-1.5124200582504272
Bobo Dioulasso Airport,Bobo-dioulasso,Burkina Faso,BOY,11.160099983215332,-4.33096981048584
Kotoka International Airport,Accra,Ghana,ACC,5.605189800262451,-0.16678600013256073
Tamale Airport,Tamale,Ghana,TML,9.55718994140625,-0.8632140159606934
Wa Airport,Wa,Ghana,\N,10.0826997756958,-2.507689952850342
Sunyani Airport,Sunyani,Ghana,NYI,7.361830234527588,-2.3287599086761475
Takoradi Airport,Takoradi,Ghana,TKD,4.896059989929199,-1.7747600078582764
Port Bouet Airport,Abidjan,Cote d'Ivoire,ABJ,5.261390209197998,-3.9262900352478027
Bouaké Airport,Bouake,Cote d'Ivoire,BYK,7.738800048828125,-5.073669910430908
Daloa Airport,Daloa,Cote d'Ivoire,DJO,6.792809963226318,-6.473189830780029
Korhogo Airport,Korhogo,Cote d'Ivoire,HGO,9.38718032837,-5.55666017532
Man Airport,Man,Cote d'Ivoire,MJC,7.272069931030273,-7.58735990524292
San Pedro Airport,San Pedro,Cote d'Ivoire,SPY,4.746719837188721,-6.660820007324219
Yamoussoukro Airport,Yamoussoukro,Cote d'Ivoire,ASK,6.9031701088,-5.36558008194
Nnamdi Azikiwe International Airport,Abuja,Nigeria,ABV,9.006790161132812,7.263169765472412
Akure Airport,Akure,Nigeria,AKR,7.246739864349365,5.3010101318359375
Benin Airport,Benin,Nigeria,BNI,6.316979885101318,5.5995001792907715
Margaret Ekpo International Airport,Calabar,Nigeria,CBQ,4.976019859313965,8.347200393676758
Akanu Ibiam International Airport,Enugu,Nigeria,ENU,6.474269866943359,7.561960220336914
Gusau Airport,Gusau,Nigeria,QUS,12.171699523925781,6.696109771728516
Ibadan Airport,Ibadan,Nigeria,IBA,7.362460136413574,3.97832989692688
Ilorin International Airport,Ilorin,Nigeria,ILR,8.440210342407227,4.493919849395752
Yakubu Gowon Airport,Jos,Nigeria,JOS,9.639829635620117,8.869050025939941
Kaduna Airport,Kaduna,Nigeria,KAD,10.696000099182129,7.320109844207764
Mallam Aminu International Airport,Kano,Nigeria,KAN,12.047599792480469,8.524620056152344
Maiduguri International Airport,Maiduguri,Nigeria,MIU,11.855299949645996,13.080900192260742
Makurdi Airport,Makurdi,Nigeria,MDI,7.7038798332214355,8.613940238952637
Murtala Muhammed International Airport,Lagos,Nigeria,LOS,6.5773701667785645,3.321160078048706
Minna Airport,Minna,Nigeria,MXJ,9.652170181274414,6.462259769439697
Port Harcourt International Airport,Port Hartcourt,Nigeria,PHC,5.0154900550842285,6.94959020614624
Sadiq Abubakar III International Airport,Sokoto,Nigeria,SKO,12.916299819946289,5.207190036773682
Yola Airport,Yola,Nigeria,YOL,9.257550239562988,12.430399894714355
Zaria Airport,Zaria,Nigeria,ZAR,11.130200386047363,7.685810089111328
Maradi Airport,Maradi,Niger,MFQ,13.5024995803833,7.1267499923706055
Diori Hamani International Airport,Niamey,Niger,NIM,13.481499671936035,2.183609962463379
Tahoua Airport,Tahoua,Niger,THZ,14.875699996948242,5.265359878540039
Mano Dayak International Airport,Agadez,Niger,AJY,16.965999603271484,8.000109672546387
Dirkou Airport,Dirkou,Niger,\N,18.968700408935547,12.86870002746582
Diffa Airport,Diffa,Niger,\N,13.372900009155273,12.626700401306152
Zinder Airport,Zinder,Niger,ZND,13.779000282287598,8.983759880065918
Monastir Habib Bourguiba International Airport,Monastir,Tunisia,MIR,35.75809860229492,10.75469970703125
Tunis Carthage International Airport,Tunis,Tunisia,TUN,36.85100173950195,10.22719955444336
Sidi Ahmed Air Base,Bizerte,Tunisia,\N,37.2453994751,9.79144954681
Remada Air Base,Remada,Tunisia,\N,32.30619812011719,10.382100105285645
Gafsa Ksar International Airport,Gafsa,Tunisia,GAF,34.422000885009766,8.822500228881836
Gabès Matmata International Airport,Gabes,Tunisia,GAE,33.87689971923828,10.103300094604492
Borj El Amri Airport,Bordj El Amri,Tunisia,\N,36.72129821777344,9.94314956665039
Djerba Zarzis International Airport,Djerba,Tunisia,DJE,33.875,10.775500297546387
El Borma Airport,El Borma,Tunisia,EBM,31.704299926757812,9.254619598388672
Sfax Thyna International Airport,Sfax,Tunisia,SFA,34.71799850463867,10.690999984741211
Tozeur Nefta International Airport,Tozeur,Tunisia,TOE,33.939701080322266,8.110560417175293
Niamtougou International Airport,Niatougou,Togo,LRL,9.767330169677734,1.091249942779541
Lomé-Tokoin Airport,Lome,Togo,LFW,6.165609836578369,1.2545100450515747
Antwerp International Airport (Deurne),Antwerp,Belgium,ANR,51.1893997192,4.46027994156
Beauvechain Air Base,Beauvechain,Belgium,\N,50.75859832763672,4.768330097198486
Kleine Brogel Air Base,Kleine Brogel,Belgium,\N,51.168301,5.47
Brussels Airport,Brussels,Belgium,BRU,50.901401519800004,4.48443984985
Jehonville Air Base,Bertrix,Belgium,\N,49.891700744628906,5.2238898277282715
Brussels South Charleroi Airport,Charleroi,Belgium,CRL,50.459201812699995,4.45382022858
Chièvres Air Base,Chievres,Belgium,\N,50.575801849365234,3.8310000896453857
Koksijde Air Base,Koksijde,Belgium,\N,51.090301513671875,2.652780055999756
Florennes Air Base,Florennes,Belgium,\N,50.2433013916,4.64583015442
Wevelgem Airport,Kortrijk-vevelgem,Belgium,QKT,50.817199707,3.20472002029
Liège Airport,Liege,Belgium,LGG,50.63740158081055,5.443220138549805
Ostend-Bruges International Airport,Ostend,Belgium,OST,51.198898315399994,2.8622200489
Zutendaal Air Base,Zutendaal,Belgium,\N,50.9474983215332,5.590559959411621
Limburg Regional Airport,Sint-truiden,Belgium,\N,50.791900634799994,5.20167016983
Saint Hubert Air Base,St.-hubert,Belgium,\N,50.034400939941406,5.440810203552246
Ursel Air Base,Ursel,Belgium,\N,51.14419937133789,3.475559949874878
Weelde Air Base,Weelde,Belgium,\N,51.394798278808594,4.9601898193359375
Oostmalle Air Base,Zoersel,Belgium,\N,51.264702,4.75333
Bautzen Airport,Bautzen,Germany,\N,51.19361114501953,14.519721984863281
Altenburg-Nobitz Airport,Altenburg,Germany,AOC,50.9819450378418,12.506388664245605
Dessau Airport,Dessau,Germany,\N,51.831693541,12.1909618378
Eisenhüttenstadt Airport,Eisenhuettenstadt,Germany,\N,52.195856,14.58753
Großenhain Airport,Suhl,Germany,\N,51.30805587768555,13.555556297302246
Merseburg Airport,Muehlhausen,Germany,\N,51.3630556,11.9408333
Halle-Oppin Airport,Halle,Germany,\N,51.552223,12.053889
Riesa-Göhlis Airport,Riesa,Germany,\N,51.2936096191,13.3561105728
Rechlin-Lärz Airport,Rechlin-laerz,Germany,\N,53.306388855,12.7522220612
Strausberg Airport,Strausberg,Germany,\N,52.5805549621582,13.916666984558105
Schönhagen Airport,Schoenhagen,Germany,\N,52.2036094666,13.1563892365
Barth Airport,Barth,Germany,BBH,54.338253,12.710515
Jena-Schöngleina Airport,Jena,Germany,\N,50.915279388427734,11.714444160461426
Kyritz Airport,Kyritz,Germany,\N,52.918888092041016,12.425277709960938
"Magdeburg \City\"" Airport""",Magdeburg,Germany,\N,52.073612,11.626389
Rothenburg/Görlitz Airport,Rothenburg/ol,Germany,\N,51.36333465576172,14.949999809265137
Anklam Airport,Anklam,Germany,\N,53.83277893066406,13.668610572814941
Cottbus-Drewitz Airport,Cottbus,Germany,\N,51.889442,14.531944
Kamenz Airport,Kamenz,Germany,\N,51.29694366455078,14.1274995803833
Berlin-Schönefeld International Airport,Berlin,Germany,SXF,52.380001068115,13.522500038147
Dresden Airport,Dresden,Germany,DRS,51.1328010559082,13.767200469970703
